kd_nM,prior_density,posterior_density
0.0025,1.12407e-05,0
0.00250909,1.13091e-05,0
0.00251821,1.13779e-05,0
0.00252736,1.1447e-05,0
0.00253655,1.15166e-05,0
0.00254576,1.15866e-05,0
0.00255502,1.16569e-05,0
0.0025643,1.17277e-05,0
0.00257362,1.17988e-05,0
0.00258298,1.18704e-05,0
0.00259237,1.19424e-05,0
0.00260179,1.20148e-05,0
0.00261125,1.20876e-05,0
0.00262074,1.21609e-05,0
0.00263026,1.22345e-05,0
0.00263982,1.23086e-05,0
0.00264942,1.23831e-05,0
0.00265905,1.2458e-05,0
0.00266871,1.25334e-05,0
0.00267841,1.26091e-05,0
0.00268815,1.26854e-05,0
0.00269792,1.2762e-05,0
0.00270772,1.28391e-05,0
0.00271757,1.29166e-05,0
0.00272744,1.29946e-05,0
0.00273736,1.3073e-05,0
0.00274731,1.31519e-05,0
0.00275729,1.32312e-05,0
0.00276731,1.33109e-05,0
0.00277737,1.33912e-05,0
0.00278747,1.34718e-05,0
0.0027976,1.3553e-05,0
0.00280777,1.36346e-05,0
0.00281797,1.37166e-05,0
0.00282821,1.37991e-05,0
0.00283849,1.38821e-05,0
0.00284881,1.39656e-05,0
0.00285916,1.40495e-05,0
0.00286956,1.4134e-05,0
0.00287999,1.42189e-05,0
0.00289045,1.43042e-05,0
0.00290096,1.43901e-05,0
0.0029115,1.44764e-05,0
0.00292209,1.45633e-05,0
0.00293271,1.46506e-05,0
0.00294337,1.47384e-05,0
0.00295406,1.48267e-05,0
0.0029648,1.49156e-05,0
0.00297558,1.50049e-05,0
0.00298639,1.50947e-05,0
0.00299725,1.5185e-05,0
0.00300814,1.52759e-05,0
0.00301907,1.53672e-05,0
0.00303005,1.54591e-05,0
0.00304106,1.55515e-05,0
0.00305211,1.56444e-05,0
0.00306321,1.57379e-05,0
0.00307434,1.58318e-05,0
0.00308552,1.59263e-05,0
0.00309673,1.60213e-05,0
0.00310799,1.61169e-05,0
0.00311928,1.6213e-05,0
0.00313062,1.63096e-05,0
0.003142,1.64068e-05,0
0.00315342,1.65045e-05,0
0.00316488,1.66028e-05,0
0.00317638,1.67016e-05,0
0.00318793,1.6801e-05,0
0.00319952,1.6901e-05,0
0.00321115,1.70015e-05,0
0.00322282,1.71025e-05,0
0.00323453,1.72042e-05,0
0.00324629,1.73064e-05,0
0.00325809,1.74091e-05,0
0.00326993,1.75125e-05,0
0.00328181,1.76164e-05,0
0.00329374,1.77209e-05,0
0.00330571,1.7826e-05,0
0.00331773,1.79317e-05,0
0.00332979,1.8038e-05,0
0.00334189,1.81449e-05,0
0.00335404,1.82523e-05,0
