time_min,percent_spliced,dose_mM,source
0.38,0.19,1.5,Pincus2010_Fig1C_WPD
2.22,10.05,1.5,Pincus2010_Fig1C_WPD
6.65,30.34,1.5,Pincus2010_Fig1C_WPD
14.1,51.39,1.5,Pincus2010_Fig1C_WPD
29.92,56.33,1.5,Pincus2010_Fig1C_WPD
42.41,49.89,1.5,Pincus2010_Fig1C_WPD
58.29,41.94,1.5,Pincus2010_Fig1C_WPD
73.04,36.46,1.5,Pincus2010_Fig1C_WPD
88.91,31.54,1.5,Pincus2010_Fig1C_WPD
103.31,19.04,1.5,Pincus2010_Fig1C_WPD
119.98,5.4,1.5,Pincus2010_Fig1C_WPD
179.22,6.59,1.5,Pincus2010_Fig1C_WPD
239.59,6.26,1.5,Pincus2010_Fig1C_WPD
0,0,2.2,Pincus2010_Fig1C_WPD
1.84,10.05,2.2,Pincus2010_Fig1C_WPD
7.03,30.15,2.2,Pincus2010_Fig1C_WPD
10.0,39.82,2.2,Pincus2010_Fig1C_WPD
15.23,52.33,2.2,Pincus2010_Fig1C_WPD
28.78,59.74,2.2,Pincus2010_Fig1C_WPD
59.38,51.99,2.2,Pincus2010_Fig1C_WPD
88.1,42.35,2.2,Pincus2010_Fig1C_WPD
119.43,40.66,2.2,Pincus2010_Fig1C_WPD
150.05,29.12,2.2,Pincus2010_Fig1C_WPD
179.16,18.34,2.2,Pincus2010_Fig1C_WPD
211.26,12.68,2.2,Pincus2010_Fig1C_WPD
239.59,7.77,2.2,Pincus2010_Fig1C_WPD
